# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = model_model
# start_datetime = 2021-07-27 17:10:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 100
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = .//input/input_trivial_v2.json
# init = .//input/init.json
# random
#   seed = 4028370519 (Default)
# output
#   file = .//output/output_trivial_v2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15
# Adaptation terminated
# Step size = 0.0512064
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
-509.136,0.539756,0.0512064,5,63,0,512.924,0.436832,0.297584,0.541672,0.592241,0.620459,0.67634,1.3292,1.06333,1.0465,0.901618,1.57005,2.32142,0.9889,1.85137,0.636347
-510.598,0.946169,0.0512064,4,31,0,514.587,0.609074,0.433076,0.31673,0.607544,0.363373,1.29552,1.6263,0.84928,1.08963,0.728792,1.94092,2.33333,1.2685,0.944796,0.737418
-508.423,1,0.0512064,4,31,0,514.022,0.727598,0.530617,0.293477,0.473677,0.335203,1.03548,1.69641,0.784649,0.901431,0.618399,2.16465,2.36959,1.44285,1.19482,0.680973
-507.824,0.981631,0.0512064,6,63,0,513.94,0.300725,0.343726,0.493991,1.28069,0.249384,1.08369,1.05112,1.76031,0.759603,0.808178,1.2457,1.43508,2.48605,1.13856,3.79119
-505.884,0.829694,0.0512064,6,63,0,513.613,0.145784,0.320434,0.361175,0.705483,0.653291,1.01706,1.03673,1.01933,0.889507,0.771869,1.96692,1.89435,1.02572,1.35748,1.28582
-505.655,0.993365,0.0512064,6,63,0,509.612,0.193521,0.326486,0.354866,1.28684,0.800994,0.536832,0.708623,0.946692,0.941311,2.22983,0.922764,1.42421,1.09505,1.3678,0.776159
-509.531,0.948639,0.0512064,6,63,0,512.922,0.26795,0.257415,0.478031,0.821463,0.374409,0.511362,2.52109,0.616723,1.95551,0.516716,1.06403,4.32286,0.694381,3.42068,0.615245
-507.291,0.833735,0.0512064,5,63,0,516.763,0.409535,0.633112,0.364134,0.728013,0.361993,1.6457,0.671581,1.7711,0.430095,1.11512,2.52941,1.01928,2.04522,0.646176,0.637413
-509.025,0.981181,0.0512064,6,63,0,515.474,0.441455,0.166515,0.202515,1.33797,1.00743,0.261181,2.76046,0.564406,1.29015,1.7273,0.558858,4.00719,0.686496,1.7493,1.8097
-508.013,0.925231,0.0512064,6,63,0,513.62,1.83678,0.262759,0.509752,0.601866,0.543104,0.613356,1.68686,1.21116,0.666925,1.24218,1.4181,2.07465,1.37303,0.941106,1.11395
