# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = model_model
# start_datetime = 2021-06-14 03:35:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ./model_kmer_sim/input_trivial_v32.json
# init = ./model_kmer_sim/init.json
# random
#   seed = 264263438 (Default)
# output
#   file = ./model_kmer_sim/output_trivial_v32.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,SEG.1,SEG.2,SEG.3,SEG.4,SEG.5,SEG.6,SEG.7,SEG.8,SEG.9,SEG.10,SEG.11,SEG.12,SEG.13,SEG.14,SEG.15
# Adaptation terminated
# Step size = 0.0233673
# Diagonal elements of inverse mass matrix:
# 0.0202527, 0.0281096, 0.0227927, 0.0258777, 0.0372263, 0.0201959, 0.0275456, 0.0225233, 0.0259972, 0.0370759, 0.0198086, 0.0281489, 0.0226974, 0.0266913, 0.0996633
-98627.6,0.961967,0.0233673,8,255,0,98636.7,1.30103,1.30409,1.41887,0.82523,1.29518,1.41855,1.47049,1.48975,0.895396,1.33553,1.50459,1.59537,1.57135,0.901466,0.63777
-98626.8,0.905448,0.0233673,4,15,0,98630.6,1.30765,1.372,1.41005,0.826605,1.24763,1.44692,1.47444,1.51352,0.847746,1.40207,1.50778,1.54465,1.57364,0.91577,0.640172
-98623.6,0.946789,0.0233673,7,255,0,98634.9,1.06461,1.0961,1.18425,1.31877,1.40885,1.18226,1.16693,1.29833,1.35761,1.57807,1.27662,1.18497,1.3423,1.43092,1.18382
-98627.8,0.848397,0.0233673,8,255,0,98631.7,1.2591,0.924815,1.51498,1.37614,1.04541,1.44749,0.989515,1.60905,1.39623,1.16679,1.53632,1.02793,1.70677,1.48588,0.72114
-98629.8,0.927154,0.0233673,5,47,0,98637.8,1.25486,0.950789,1.50558,1.29283,1.10693,1.41035,1.02632,1.61585,1.4409,1.10795,1.52693,1.08589,1.63529,1.50991,0.807837
-98627.8,0.920031,0.0233673,8,255,0,98635.9,1.00082,1.62665,0.982713,1.05524,1.48972,1.10552,1.78351,1.0858,1.13282,1.56385,1.14031,1.91491,1.15696,1.15046,0.932574
-98626.6,0.946046,0.0233673,8,255,0,98635,0.934433,1.72153,0.997876,1.14493,1.3925,1.04506,1.82691,1.08208,1.25,1.43564,1.12931,1.9551,1.15406,1.25055,0.799348
-98622.6,0.9946,0.0233673,7,255,0,98629.2,1.03505,1.4363,1.15294,1.29944,1.16423,1.14828,1.53125,1.25488,1.38811,1.23576,1.20093,1.65904,1.28885,1.42792,1.37134
-98626.9,0.963373,0.0233673,4,15,0,98629.3,1.02034,1.46061,1.16537,1.29239,1.12283,1.18748,1.5566,1.23521,1.35152,1.25785,1.20501,1.65158,1.30225,1.46211,1.41397
-98629.5,0.954662,0.0233673,5,31,0,98632.1,1.03819,1.40826,1.17324,1.31968,1.14841,1.11806,1.56025,1.26888,1.38041,1.17179,1.28411,1.61097,1.34637,1.36835,1.45841
-98628.8,0.886854,0.0233673,4,31,0,98638.2,1.05948,1.45623,1.13875,1.29645,1.12973,1.2076,1.53912,1.24293,1.37105,1.25137,1.19121,1.65554,1.31309,1.45585,1.4392
-98628.8,0.929634,0.0233673,7,191,0,98635.8,1.18309,1.2038,1.30405,1.23481,1.12374,1.27864,1.4,1.35988,1.26951,1.18866,1.3696,1.4573,1.49142,1.27681,1.07088
-98627.5,0.946409,0.0233673,6,79,0,98634,1.09936,1.22029,1.2727,1.31328,1.13736,1.22017,1.35434,1.35029,1.41886,1.17356,1.35792,1.42322,1.44153,1.39252,0.918952
-98630.7,0.956211,0.0233673,5,63,0,98637.9,1.13326,1.20192,1.30448,1.33492,1.06783,1.25446,1.379,1.34625,1.35509,1.21283,1.31138,1.41097,1.42658,1.39419,1.00429
-98630.5,0.901238,0.0233673,7,175,0,98637,1.17601,1.26433,1.36327,1.30123,0.986472,1.30492,1.37304,1.43512,1.3991,1.09001,1.41923,1.35402,1.52656,1.48131,1.10508
-98624.7,0.612472,0.0233673,7,175,0,98639.9,1.09761,1.10831,1.03156,1.38112,1.48247,1.24048,1.15725,1.13982,1.44114,1.53642,1.35178,1.25658,1.18894,1.47352,0.782819
-98622.7,0.661816,0.0233673,7,255,0,98632.5,1.19955,1.14135,1.12301,1.28315,1.287,1.36661,1.22605,1.18256,1.36047,1.41823,1.46957,1.22691,1.2585,1.42968,1.01799
-98622.9,0.922428,0.0233673,7,223,0,98629.6,1.18211,1.08506,1.05896,1.41452,1.36465,1.31494,1.14677,1.17215,1.46919,1.41901,1.43276,1.22506,1.21715,1.50023,0.967363
-98629.8,0.8086,0.0233673,4,15,0,98634.5,1.13233,1.06803,1.05152,1.46126,1.31607,1.35635,1.1632,1.15433,1.44528,1.42848,1.45786,1.21602,1.20904,1.48592,0.991306
-98627.3,0.976797,0.0233673,7,159,0,98640,1.37754,1.14507,1.19041,1.35126,1.03778,1.53902,1.18427,1.30388,1.42545,1.08839,1.71338,1.19506,1.39972,1.43835,0.69142
-98624.9,0.991499,0.0233673,8,255,0,98630.7,1.22525,1.11272,1.08049,1.45828,1.15568,1.42938,1.16052,1.18922,1.50882,1.262,1.53654,1.208,1.27563,1.54665,0.679242
