# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = model_model
# start_datetime = 2021-06-14 03:19:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 100
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ./model_kmer_sim/input_trivial_v21.json
# init = ./model_kmer_sim/init.json
# random
#   seed = 263315374 (Default)
# output
#   file = ./model_kmer_sim/output_trivial_v21.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,SEG.1,SEG.2,SEG.3,SEG.4,SEG.5,SEG.6,SEG.7,SEG.8,SEG.9,SEG.10,SEG.11,SEG.12,SEG.13,SEG.14,SEG.15
# Adaptation terminated
# Step size = 0.0489875
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
-518.284,0.800219,0.0489875,4,31,0,525,0.77749,0.452374,0.586332,0.81806,0.656476,0.856531,0.641561,1.25834,0.886988,1.34105,1.55947,1.41119,1.43571,0.97534,1.53889
-516.617,0.96389,0.0489875,4,15,0,521.321,0.858998,0.62499,0.557469,0.685523,0.668173,0.910375,0.932146,0.88844,1.03513,1.28714,1.47348,1.08762,1.15927,1.65897,1.1058
-520.891,0.768055,0.0489875,4,15,0,529.199,1.00821,0.592077,0.419094,0.545434,1.02028,0.70981,0.798149,0.981722,1.32727,1.20407,1.24976,1.61718,0.942274,1.58987,1.17694
-516.964,0.955821,0.0489875,4,15,0,526.714,1.13212,0.615533,0.559987,0.519839,0.676341,0.723117,1.22682,0.89388,0.903276,1.45211,1.14117,1.55895,1.3676,1.34491,1.33978
-518.554,0.951503,0.0489875,4,15,0,521.526,0.522622,0.446523,0.636916,1.00934,0.652243,0.900092,0.591147,1.14306,1.10794,1.14034,1.55445,1.29121,1.29684,1.34557,0.772628
-519.806,0.626249,0.0489875,4,15,0,528.715,0.573221,0.497834,0.541795,0.844819,0.707613,0.98188,0.671786,1.28088,1.09251,0.977986,1.42712,1.19978,1.39741,1.38827,0.731029
-517.814,0.999821,0.0489875,4,31,0,525.3,0.817886,0.621846,0.656596,0.605149,0.599892,0.639839,1.0427,1.01251,0.87245,1.64776,0.917877,1.52129,1.56771,1.27378,1.57165
-519.19,0.95542,0.0489875,4,31,0,525.274,0.865154,0.647414,0.739592,0.892202,0.584273,0.651155,1.31954,0.965148,1.02614,1.08188,1.29439,1.64052,1.08575,1.49154,1.23614
-519.923,0.807379,0.0489875,5,31,0,525.344,0.697678,0.561219,0.441928,0.594755,0.61553,1.28349,0.582564,1.12318,0.869654,1.2316,1.69878,1.07544,1.74113,1.32819,0.935676
-516.739,0.984803,0.0489875,5,31,0,524.136,0.814766,0.89947,0.603668,0.662163,0.498888,0.939823,1.02707,1.0674,0.909271,0.856661,1.63237,1.8082,1.51355,1.17923,1.10652
-519.516,0.961419,0.0489875,5,31,0,523.43,0.724174,0.391785,0.595817,0.835457,0.891382,0.574147,0.790942,0.828903,1.02197,1.84535,1.33797,1.04896,1.32071,1.08929,0.843979
-516.768,0.997484,0.0489875,4,15,0,522.987,0.606121,0.492342,0.537113,0.797063,0.829555,0.805571,0.708169,1.01725,1.1401,1.4604,0.967535,1.50693,1.39711,1.22152,0.92353
-517.599,0.956586,0.0489875,4,15,0,522.69,0.788375,0.459046,0.415141,0.847348,0.674568,0.796689,0.739258,0.831649,1.18711,1.72677,1.11916,1.14721,1.17461,1.48643,0.864581
-516.355,0.915557,0.0489875,4,15,0,523.116,0.877662,0.559498,0.601291,0.734879,0.704142,0.931063,0.801151,1.04895,0.917358,0.991745,1.95734,1.48044,1.26307,1.17227,0.797193
-519.193,0.869317,0.0489875,4,15,0,520.652,0.653421,0.750721,0.519041,0.592732,0.484712,0.876829,1.03373,0.920181,0.998076,1.33069,1.0924,1.4605,1.25477,1.44965,0.563406
-520.622,0.963313,0.0489875,5,31,0,527.342,0.824451,0.44997,0.576014,0.685382,0.796872,0.974665,1.03817,0.910693,0.843479,1.37878,1.36809,1.27713,1.80541,1.22215,1.62098
-519.094,0.998325,0.0489875,4,15,0,526.23,0.788382,0.619054,0.556335,0.527927,0.521994,0.921448,0.689566,1.22081,1.1364,1.01367,1.26296,1.60922,1.27282,1.31314,0.800333
-519.845,0.946473,0.0489875,4,15,0,525.651,0.951268,0.455245,0.529282,0.71476,0.701386,0.616048,0.864125,1.1155,0.832538,1.61186,1.65709,1.1347,1.08716,1.06766,1.31513
-524.459,0.763151,0.0489875,4,15,0,529.994,0.554634,0.484443,0.527662,0.7514,0.8809,1.28838,0.611125,0.813997,0.755369,1.43113,2.08089,0.986232,1.36904,1.10895,0.69508
-521.503,0.997722,0.0489875,5,31,0,531.621,0.539137,0.587195,0.746191,0.738865,0.842135,0.551246,0.941013,1.22284,1.04098,1.62788,0.720117,1.38351,1.43496,1.64803,1.45132
